lat,line,line_color,lon,order,station,year,depth,number
55.835154,Арбатско-Покровская линия,#0072BA,37.382453000000005,19,Волоколамская,2009,-14,3
55.846098,Арбатско-Покровская линия,#0072BA,37.36122,20,Митино,2009,-14,3
55.853634,Арбатско-Покровская линия,#0072BA,37.353108,21,Пятницкое шоссе,2012,-11,3
55.730815,Филёвская линия,#1EBCEF,37.446754,0,Кунцевская,1965,0,4
55.736027,Филёвская линия,#1EBCEF,37.466728,1,Пионерская,1961,0,4
55.739665,Филёвская линия,#1EBCEF,37.483902,2,Филёвский парк,1961,0,4
55.74354399999999,Филёвская линия,#1EBCEF,37.497042,3,Багратионовская,1961,0,4
55.746763,Филёвская линия,#1EBCEF,37.514035,4,Фили,1959,0,4
55.74054399999999,Филёвская линия,#1EBCEF,37.5341,5,Кутузовская,1958,0,4
55.738761,Филёвская линия,#1EBCEF,37.54842,6,Студенческая,1958,0,4
55.743168000000004,Филёвская линия,#1EBCEF,37.565425,7,Киевская,1937,-8.7,4
55.749083,Филёвская линия,#1EBCEF,37.582173,8,Смоленская,1935,-8,4
55.752122,Филёвская линия,#1EBCEF,37.601553,9,Арбатская,1935,-8,4
55.752255000000005,Филёвская линия,#1EBCEF,37.608775,10,Александровский сад,1935,-7,4
55.743168000000004,Филёвская линия,#1EBCEF,37.565425,1,Киевская,1937,-8.7,4_1
55.750243000000005,Филёвская линия,#1EBCEF,37.542640999999996,2,Выставочная,2005,-25,4_1
55.748324,Филёвская линия,#1EBCEF,37.533282,3,Международная,2006,-25,4_1
55.89903399999999,Серпуховско-Тимирязевская линия,#ADACAC,37.586473,0,Алтуфьево,1994,-9,9
55.88386800000001,Серпуховско-Тимирязевская линия,#ADACAC,37.603010999999995,1,Бибирево,1992,-9.5,9
55.864273,Серпуховско-Тимирязевская линия,#ADACAC,37.605066,2,Отрадное,1991,-9,9
55.848236,Серпуховско-Тимирязевская линия,#ADACAC,37.590451,3,Владыкино,1991,-10.5,9
55.836565,Серпуховско-Тимирязевская линия,#ADACAC,37.575511999999996,4,Петровско-Разумовская,1991,-61,9
55.818659999999994,Серпуховско-Тимирязевская линия,#ADACAC,37.574498,5,Тимирязевская,1991,-63.5,9
55.80805600000001,Серпуховско-Тимирязевская линия,#ADACAC,37.581734000000004,6,Дмитровская,1991,-59,9
55.794054,Серпуховско-Тимирязевская линия,#ADACAC,37.587163000000004,7,Савёловская,1988,-52,9
55.781999,Серпуховско-Тимирязевская линия,#ADACAC,37.599140999999996,8,Менделеевская,1988,-48.5,9
55.771653,Серпуховско-Тимирязевская линия,#ADACAC,37.620466,9,Цветной бульвар,1988,-50,9
55.765747,Серпуховско-Тимирязевская линия,#ADACAC,37.608493,10,Чеховская,1987,-62,9
55.750399,Серпуховско-Тимирязевская линия,#ADACAC,37.60934,11,Боровицкая,1986,-46.5,9
55.736794999999994,Серпуховско-Тимирязевская линия,#ADACAC,37.618594,12,Полянка,1986,-36.5,9
55.726548,Серпуховско-Тимирязевская линия,#ADACAC,37.624792,13,Серпуховская,1983,-43,9
55.70961,Серпуховско-Тимирязевская линия,#ADACAC,37.622569,14,Тульская,1983,-9.5,9
55.682099,Серпуховско-Тимирязевская линия,#ADACAC,37.620917,15,Нагатинская,1983,-13.5,9
55.672962,Серпуховско-Тимирязевская линия,#ADACAC,37.610397,16,Нагорная,1983,-9,9
55.662379,Серпуховско-Тимирязевская линия,#ADACAC,37.605274,17,Нахимовский проспект,1983,-9.5,9
55.651451,Серпуховско-Тимирязевская линия,#ADACAC,37.59809,18,Севастопольская,1983,-13,9
55.640538,Серпуховско-Тимирязевская линия,#ADACAC,37.606065,19,Чертановская,1983,-10.5,9
55.622436,Серпуховско-Тимирязевская линия,#ADACAC,37.609047,20,Южная,1983,-10,9
55.610962,Серпуховско-Тимирязевская линия,#ADACAC,37.602385999999996,21,Пражская,1985,-9.5,9
55.596753,Серпуховско-Тимирязевская линия,#ADACAC,37.601498,22,Улица Академика Янгеля,2000,-8,9
55.583477,Серпуховско-Тимирязевская линия,#ADACAC,37.596999,23,Аннино,2001,-8,9
55.568201,Серпуховско-Тимирязевская линия,#ADACAC,37.576856,24,Бульвар Дмитрия Донского,2002,-10,9
55.859676,Таганско-Краснопресненская линия,#943E90,37.436808,0,Планерная,1975,-6,7
55.84926,Таганско-Краснопресненская линия,#943E90,37.44076,1,Сходненская,1975,-6,7
